Date,Amount,Reference,Narration
2025-03-21,32140.88,INV3002,Payment to Kapoor Steel Corp Pvt Ltd
2025-03-07,53510.71,INV3003,Payment to Chauhan Constructions
2025-04-09,35167.31,INV3004,Payment to Rana Media Works
2025-04-05,51174.50,INV3005,Payment to Rana Media Works
2025-04-07,28701.32,INV3006,Payment to Dutta Shipping Ltd
2025-04-09,8520.53,INV3007,Payment to Kapoor Steel Corp
2025-03-07,29180.67,INV3008,Payment to Thakur Electricals
2025-04-01,42045.78,INV3009,Payment to Saxena Freight Co
2025-03-26,18084.73,INV3010,Payment to Menon Chemical Ind
2025-03-25,59980.74,INV3011,Payment to Bhatt Agro Traders
2025-03-05,38370.70,INV3012,Payment to Chauhan Constructions
2025-03-06,38424.29,INV3013,Payment to Saxena Freight Co
2025-03-10,44811.94,INV3014,Payment to Thakur Electricals
2025-03-11,44890.10,INV3015,Payment to Dutta Shipping Ltd
2025-03-24,27365.05,INV3016,Payment to Kapoor Steel Corp
2025-03-26,27418.68,INV3017,Payment to Bhatt Agro Traders
2025-03-28,29267.07,INV3018,Payment to Dutta Shipping Ltd
2025-03-29,29347.08,INV3019,Payment to Kapoor Steel Corp Pvt Ltd
2025-03-17,43468.06,INV3020,Payment to Pillai Textiles
2025-03-19,43540.62,INV3021,Payment to Chauhan Constructions
2025-04-06,17430.04,INV3022,Payment to Chauhan Constructions
2025-04-08,17485.20,INV3023,Payment to Kapoor Steel Corp
2025-04-03,40472.99,INV3024,Payment to Kapoor Steel Corp
2025-04-04,9103.06,INV3025,Payment to Kapoor Steel Corp Pvt Ltd
2025-04-09,22176.38,INV3026,Payment to Kapoor Steel Corp
2025-04-10,10696.50,INV3027,Payment to Kapoor Steel Corp Pvt Ltd
2025-03-15,38985.15,INV3028,Payment to Menon Chemicals
2025-03-16,9880.53,INV3029,Payment to Menon Chemical Ind
2025-03-30,31972.13,INV3030,Payment to Menon Chemicals
2025-03-31,33580.93,INV3031,Payment to Menon Chemical Ind
2025-03-17,32547.17,INV3032,Payment to Chauhan Constructions
2025-04-05,44788.02,INV3033,Payment to Thakur Electricals
2025-03-26,26085.20,INV3034,Payment to Dutta Shipping Ltd
2025-03-01,5686.19,INV3035,Payment to Thakur Electricals
2025-03-30,44977.63,INV3036,Payment to Rana Media Works
2025-03-13,17263.81,INV3037,Payment to Bhatt Agro Traders
2025-04-05,32449.74,INV3038,Payment to Chauhan Constructions
2025-03-22,27340.43,INV3039,Payment to Kapoor Steel Corp
2025-04-01,27098.96,INV3040,Payment to Kapoor Steel Corp Pvt Ltd
2025-04-01,51947.03,INV3041,Payment to Menon Chemicals
2025-03-22,22876.57,INV3042,Payment to Saxena Freight Co
2025-03-29,26919.14,INV3043,Payment to Menon Chemical Ind
2025-03-06,3007.92,,Payment as discussed on call
2025-04-04,37490.60,,Misc supplier payment
2025-04-09,32369.51,,Being settlement for outstanding dues
2025-03-08,25979.76,,Vendor payment - batch
2025-03-18,27733.65,,Transfer per email confirmation
2025-03-23,8726.15,,Advance against PO
2025-04-01,21933.67,INV3050,Payment to Bhatt Agro Traders
2025-04-04,9796.12,INV3051,Payment to Menon Chemicals
2025-03-09,28915.21,INV3052,Payment to Rana Media Works
2025-04-02,150.00,,Bank charges - SMS alert
2025-03-19,890.00,,Interest credited
2025-03-06,450.00,,Refund - failed UPI txn
2025-03-27,210.00,,GST TDS credit reversal
2025-03-11,500.00,,Bank charges - cheque bounce
2025-03-09,1120.00,,Interest credited
