Date,Amount,Reference,Narration
01/04/2025,17543.97,RZP4001,Payment to Ahuja Textiles Pvt Ltd
2025-04-02,5476.94,RZP4002,Payment to Bansal Electricals Co
2025-04-03,"Rs. 4,783.95",RZP4003,Payment to Chawla Freight Services
04/04/2025,"Rs. 22,814.99",RZP4004,Payment to Dutta Cold Chain Solutions
2025-04-05,"Rs. 22,376.92",RZP4005,Payment to Enterprise Solutions Ltd
2025-04-06,12715.47,RZP4006,Payment to Farooqui Packaging Industries
07 Apr 2025,29700.94,RZP4007,Payment to Ghosh Timber Traders
2025-04-08,"Rs. 4,235.97",RZP4008,Payment to Hegde Software Labs Pvt Ltd
09/04/2025,8924.24,RZP4009,Payment to Iqbal Auto Spares
10/04/2025,41174.07,RZP4010,Payment to Jindal Steel Traders
11 Apr 2025,32667.85,RZP4011,Payment to Kohli Fashion House
12/04/2025,"Rs. 5,013.87",RZP4012,Payment to Lamba Print Media Solutions
13 Apr 2025,34659.2,RZP4013,Payment to Menon Constructions Pvt Ltd
14 Apr 2025,"Rs. 30,106.97",RZP4014,Payment to Naidu Agro Supplies
2025-04-15,"Rs. 40,130.22",RZP4015,Payment to Oberoi Hospitality Co
2025-04-16,29572.34,RZP4016,Payment to Prasad Logistics Network
17/04/2025,37013.37,RZP4017,Payment to Qureshi Wholesale Traders
18 Apr 2025,7667.16,RZP4018,Payment to Rangarajan Exports Ltd
19 Apr 2025,"Rs. 9,295.26",RZP4019,Payment to Sinha Machine Tools
2025-04-20,34074.36,RZP4020,Payment to Trivedi Consulting Group
21 Apr 2025,44022.93,RZP4021,Payment to Upadhyay Furniture Mart
2025-04-22,30529.75,RZP4022,Payment to Verma Chemical Industries
2025-04-23,42318.45,RZP4023,Payment to Wadhwa Real Estate Co
24/04/2025,33879.31,RZP4024,Payment to Yadav Cement Supply
2025-04-25,33062.19,RZP4025,Payment to Ahuja Textiles Pvt Ltd
26 Apr 2025,15660.59,RZP4026,Payment to Bansal Electricals Co
27 Apr 2025,"Rs. 3,083.02",RZP4027,Payment to Chawla Freight Services
28/04/2025,7620.6,RZP4028,Payment to Dutta Cold Chain Solutions
29/04/2025,8208.33,RZP4029,Payment to Enterprise Solutions Ltd
30/04/2025,43828.25,RZP4030,Payment to Farooqui Packaging Industries
2025-05-06,12195.31,,NEFT to Enterprise Solutions Ltd
2025-05-07,28695.77,,NEFT to Farooqui Packaging Industries
08/05/2025,7308.95,,NEFT to Ghosh Timber Traders
09/05/2025,"Rs. 20,172.57",,NEFT to Hegde Software Labs Pvt Ltd
2025-05-10,17628.94,,NEFT to Iqbal Auto Spares
2025-05-11,28085.51,,NEFT to Jindal Steel Traders
2025-05-12,3581.73,,NEFT to Kohli Fashion House
2025-05-13,"Rs. 16,674.12",,NEFT to Lamba Print Media Solutions
14/05/2025,39410.2,,NEFT to Menon Constructions Pvt Ltd
15/05/2025,"Rs. 5,443.11",,NEFT to Naidu Agro Supplies
2025-05-16,25125.88,,NEFT to Oberoi Hospitality Co
2025-05-17,25924.27,,NEFT to Prasad Logistics Network
18 May 2025,34184.57,,NEFT to Qureshi Wholesale Traders
2025-05-19,5433.72,,NEFT to Rangarajan Exports Ltd
20/05/2025,7712.39,,NEFT to Sinha Machine Tools
2025-05-21,7145.7,,NEFT to Trivedi Consulting Group
2025-05-22,"Rs. 39,169.30",,NEFT to Upadhyay Furniture Mart
2025-05-23,36467.45,,NEFT to Verma Chemical Industries
2025-05-24,14190.6,,NEFT to Wadhwa Real Estate Co
2025-05-25,"Rs. 32,534.53",,NEFT to Yadav Cement Supply
31/05/2025,"Rs. 18,770.02",,TXN IQBAL
2025-06-01,18110.68,,TXN JINDAL
2025-06-02,28875.1,,TXN KOHLI
03/06/2025,"Rs. 5,576.22",,TXN LAMBA
2025-06-04,18445.91,,TXN MENON
05/06/2025,14009.22,,TXN NAIDU
06 Jun 2025,"Rs. 28,032.69",,TXN OBEROI
07 Jun 2025,13641.55,,TXN PRASAD
2025-06-08,"Rs. 26,192.56",,TXN QURESHI
09/06/2025,31956.27,,TXN RANGARAJAN
2025-06-15,34819.03,,Payment Menon Constructions Pvt Ltd incl GST
16/06/2025,"Rs. 22,085.47",,Payment Naidu Agro Supplies incl GST
2025-06-17,34541.25,,Payment Oberoi Hospitality Co incl GST
18 Jun 2025,33441.93,,Payment Prasad Logistics Network incl GST
19/06/2025,"Rs. 30,271.58",,Payment Qureshi Wholesale Traders incl GST
20/06/2025,14542.52,,Payment Rangarajan Exports Ltd incl GST
21 Jun 2025,"Rs. 13,551.26",,Payment Sinha Machine Tools incl GST
22 Jun 2025,32745.51,,Payment Trivedi Consulting Group incl GST
2025-06-25,26000.37,,Partial payment 1/2 Qureshi Wholesale Traders
2025-06-28,17333.58,,Partial payment 2/2 Qureshi Wholesale Traders
2025-06-27,"Rs. 24,763.80",,Partial payment 1/2 Rangarajan Exports Ltd
30 Jun 2025,"Rs. 16,509.20",,Partial payment 2/2 Rangarajan Exports Ltd
2025-06-29,"Rs. 12,094.38",,Partial payment 1/2 Sinha Machine Tools
02 Jul 2025,8062.92,,Partial payment 2/2 Sinha Machine Tools
01 Jul 2025,25355.41,,Partial payment 1/2 Trivedi Consulting Group
2025-07-04,16903.61,,Partial payment 2/2 Trivedi Consulting Group
2025-07-05,"Rs. 6,228.30",RZP4073,Payment Upadhyay Furniture Mart
06/07/2025,6228.3,RZP4073,Payment Upadhyay Furniture Mart DUPLICATE
2025-07-06,14661.99,RZP4074,Payment Verma Chemical Industries
2025-07-07,14661.99,RZP4074,Payment Verma Chemical Industries DUPLICATE
2025-07-07,16863.09,RZP4075,Payment Wadhwa Real Estate Co
2025-07-08,16863.09,RZP4075,Payment Wadhwa Real Estate Co DUPLICATE
08 Jul 2025,15198.99,RZP4076,Payment Yadav Cement Supply
2025-07-09,15198.99,RZP4076,Payment Yadav Cement Supply DUPLICATE
09/07/2025,23785.79,RZP4077,Payment Ahuja Textiles Pvt Ltd
2025-07-10,23785.79,RZP4077,Payment Ahuja Textiles Pvt Ltd DUPLICATE
15/07/2025,728.82,,Bank charges - cheque bounce fee
16/07/2025,Rs. 409.10,,TDS reversal credit
2025-07-17,3363.89,,Interest on FD credited
2025-07-18,814.51,,Refund - duplicate payment
2025-07-19,757.75,,ATM cash deposit
2025-07-20,1136.96,,Bank charges - annual maintenance
2025-07-21,2461.94,,GST refund credited
22 Jul 2025,849.26,,Round-off adjustment
23/07/2025,1728.62,,NACH mandate fee
24/07/2025,3624.65,,SMS alert charges
25/07/2025,2230.27,,Locker rent debited
2025-07-26,"Rs. 3,138.44",,Cashback credited
