bank_transaction_id,ground_truth_ledger_id
bank_0,ledger_0
bank_1,ledger_1
bank_2,ledger_2
bank_3,ledger_3
bank_4,ledger_4
bank_5,ledger_5
bank_6,ledger_6
bank_7,ledger_7
bank_8,ledger_8
bank_9,ledger_9
bank_10,ledger_10
bank_11,ledger_11
bank_12,ledger_12
bank_13,ledger_13
bank_14,ledger_14
bank_15,ledger_15
bank_16,ledger_16
bank_17,ledger_17
bank_18,ledger_18
bank_19,ledger_19
bank_20,ledger_20
bank_21,ledger_21
bank_22,ledger_22
bank_23,ledger_23
bank_24,ledger_24
bank_25,ledger_25
bank_26,ledger_26
bank_27,ledger_27
bank_28,ledger_28
bank_29,ledger_29
bank_30,ledger_30
bank_31,ledger_31
bank_32,ledger_32
bank_33,ledger_33
bank_34,NO_MATCH
bank_35,NO_MATCH
bank_36,NO_MATCH
bank_37,NO_MATCH
bank_38,NO_MATCH
bank_39,ledger_37
bank_40,ledger_38
bank_41,ledger_39
bank_42,ledger_40
bank_43,ledger_41
bank_44,ledger_42
bank_45,ledger_43
bank_46,ledger_44
bank_47,ledger_45
bank_48,ledger_46
bank_49,ledger_47
