Date,Amount,Invoice_Number,Vendor_Name
2025-03-21,32140.88,INV3002,KAPOOR STEEL CORP PVT LTD
2025-03-07,53510.71,INV3003,CHAUHAN CONSTRUCTIONS
2025-04-09,35167.31,INV3004,RANA MEDIA WORKS
2025-04-05,51174.50,INV3005,RANA MEDIA WORKS
2025-04-07,28701.32,INV3006,DUTTA SHIPPING LTD
2025-04-09,8520.53,INV3007,KAPOOR STEEL CORP
2025-03-07,29180.67,INV3008,THAKUR ELECTRICALS
2025-04-01,42045.78,INV3009,SAXENA FREIGHT CO
2025-03-26,18084.73,INV3010,MENON CHEMICAL INDUSTRIES
2025-03-25,59980.74,INV3011,BHATT AGRO TRADERS
2025-03-05,38370.70,INV3012,CHAUHAN CONSTRUCTIONS
2025-03-07,38424.29,INV3013,SAXENA FREIGHT CO
2025-03-10,44811.94,INV3014,THAKUR ELECTRICALS
2025-03-12,44890.10,INV3015,DUTTA SHIPPING LTD
2025-03-24,27365.05,INV3016,KAPOOR STEEL CORP
2025-03-26,27418.68,INV3017,BHATT AGRO TRADERS
2025-03-28,29267.07,INV3018,DUTTA SHIPPING LTD
2025-03-30,29347.08,INV3019,KAPOOR STEEL CORP PVT LTD
2025-03-17,43468.06,INV3020,PILLAI TEXTILES
2025-03-18,43540.62,INV3021,CHAUHAN CONSTRUCTIONS
2025-04-06,17430.04,INV3022,CHAUHAN CONSTRUCTIONS
2025-04-06,17485.20,INV3023,KAPOOR STEEL CORP
2025-04-03,40472.99,INV3024,KAPOOR STEEL CORP
2025-04-04,9103.06,INV3025,KAPOOR STEEL CORP PVT LTD
2025-04-09,22176.38,INV3026,KAPOOR STEEL CORP
2025-04-10,10696.50,INV3027,KAPOOR STEEL CORP PVT LTD
2025-03-15,38985.15,INV3028,MENON CHEMICALS
2025-03-16,9880.53,INV3029,MENON CHEMICAL INDUSTRIES
2025-03-30,31972.13,INV3030,MENON CHEMICALS
2025-03-31,33580.93,INV3031,MENON CHEMICAL INDUSTRIES
2025-03-17,32549.60,INV3032,CHAUHAN CONSTRUCTIONS
2025-04-05,44789.90,INV3033,THAKUR ELECTRICALS
2025-03-26,26086.41,INV3034,DUTTA SHIPPING LTD
2025-03-01,5688.57,INV3035,THAKUR ELECTRICALS
2025-03-30,44980.89,INV3036,RANA MEDIA WORKS
2025-03-13,17265.64,INV3037,BHATT AGRO TRADERS
2025-04-01,32449.74,INV3038,CHAUHAN CONSTRUCTIONS
2025-03-19,27340.43,INV3039,KAPOOR STEEL CORP
2025-03-29,27098.96,INV3040,KAPOOR STEEL CORP PVT LTD
2025-03-28,51947.03,INV3041,MENON CHEMICALS
2025-03-18,22876.57,INV3042,SAXENA FREIGHT CO
2025-03-27,26919.14,INV3043,MENON CHEMICAL INDUSTRIES
2025-03-06,3007.92,INV3044,KAPOOR STEEL CORP
2025-04-04,37490.60,INV3045,RANA MEDIA WORKS
2025-04-09,32369.51,INV3046,KAPOOR STEEL CORP PVT LTD
2025-03-08,25979.76,INV3047,MENON CHEMICAL INDUSTRIES
2025-03-18,27733.65,INV3048,CHAUHAN CONSTRUCTIONS
2025-03-23,8726.15,INV3049,SAXENA FREIGHT CO
2025-04-01,21933.67,INV3050,BHATT AGRO TRADERS
2025-04-03,21933.67,INV3050,BHATT AGRO TRADERS
2025-04-04,9796.12,INV3051,MENON CHEMICALS
2025-04-06,9796.12,INV3051,MENON CHEMICALS
2025-03-09,28915.21,INV3052,RANA MEDIA WORKS
2025-03-11,28915.21,INV3052,RANA MEDIA WORKS
2025-03-20,14169.44,INV3053,RANA MEDIA WORKS
2025-03-10,14440.68,INV3054,PILLAI TEXTILES
2025-03-25,3310.90,INV3055,MENON CHEMICAL INDUSTRIES
2025-03-25,22530.96,INV3056,KAPOOR STEEL CORP PVT LTD
2025-03-23,17217.99,INV3057,KAPOOR STEEL CORP
