Date,Amount,Invoice_Number,Vendor_Name
2025-03-01,20582.99,HRD3001,AHUJA TEXTILES PVT LTD
2025-03-02,11203.47,HRD3002,BANSAL ELECTRICAL CO
2025-03-03,10224.91,HRD3003,CHAWLA FREIGHT
2025-03-04,13427.84,HRD3004,DUTTA COLDCHAIN
2025-03-05,36954.36,HRD3005,ENTERPRISE SOLUTIONS
2025-03-06,13552.95,HRD3006,FAROOQUI PACK CO
2025-03-07,19621.11,HRD3007,GHOSH TIMBER
2025-03-08,33478.2,HRD3008,HEGDE SOFTWARE
2025-03-09,26776.94,HRD3009,IQBAL AUTOSPARES
2025-03-10,45165.34,HRD3010,JINDAL STEEL TRADERS
2025-03-11,24506.65,HRD3011,KOHLI FASHION
2025-03-12,21395.41,HRD3012,LAMBA PRINTMEDIA
2025-03-13,30207.94,HRD3013,MENON CONSTRUCTIONS PVT LTD
2025-03-14,11967.85,HRD3014,NAIDU AGRO
2025-03-15,43491.97,HRD3015,OBEROI HOSPITALITY
2025-03-16,19203.07,HRD3016,AHUJA TEXTILES PVT LTD
2025-03-17,19853.15,HRD3017,BANSAL ELECTRICAL CO
2025-03-18,33388.97,HRD3018,CHAWLA FREIGHT
2025-03-19,9004.72,HRD3019,DUTTA COLDCHAIN
2025-03-20,32386.12,HRD3020,ENTERPRISE SOLUTIONS
2025-03-21,41098.49,HRD3021,FAROOQUI PACK CO
2025-03-22,17585.11,HRD3022,GHOSH TIMBER
2025-03-23,45555.52,HRD3023,HEGDE SOFTWARE
2025-03-24,26320.94,HRD3024,IQBAL AUTOSPARES
2025-03-25,37625.78,HRD3025,JINDAL STEEL TRADERS
2025-04-01,12098.69,HRD3100,FAROOQUI PACK CO
2025-03-31,20191.39,HRD3101,GHOSH TIMBER
2025-03-31,13644.8,HRD3102,HEGDE SOFTWARE
2025-03-31,16979.9,HRD3103,IQBAL AUTOSPARES
2025-04-06,17000.47,HRD3104,JINDAL STEEL TRADERS
2025-04-04,5826.18,HRD3105,KOHLI FASHION
2025-04-04,26541.53,HRD3106,LAMBA PRINTMEDIA
2025-04-09,32482.37,HRD3107,MENON CONSTRUCTIONS PVT LTD
2025-04-10,23620.04,HRD3108,NAIDU AGRO
2025-04-06,2280.68,HRD3109,OBEROI HOSPITALITY
2025-04-13,28958.88,HRD3110,AHUJA TEXTILES PVT LTD
2025-04-12,22672.49,HRD3111,BANSAL ELECTRICAL CO
2025-04-11,22182.59,HRD3112,CHAWLA FREIGHT
2025-04-12,6049.84,HRD3113,DUTTA COLDCHAIN
2025-04-12,31649.0,HRD3114,ENTERPRISE SOLUTIONS
2025-04-10,20275.94,HRD3200,JINDAL STEEL TRADERS
2025-04-11,16798.53,HRD3201,KOHLI FASHION
2025-04-12,31803.61,HRD3202,LAMBA PRINTMEDIA
2025-04-13,26713.35,HRD3203,MENON CONSTRUCTIONS PVT LTD
2025-04-13,8602.83,HRD3204,NAIDU AGRO
2025-04-26,8674.95,HRD3205,OBEROI HOSPITALITY
2025-04-26,33052.12,HRD3206,AHUJA TEXTILES PVT LTD
2025-04-27,7571.32,HRD3207,BANSAL ELECTRICAL CO
2025-04-17,22548.08,HRD3208,CHAWLA FREIGHT
2025-04-18,16159.96,HRD3209,DUTTA COLDCHAIN
2025-05-01,18051.66,HRD3210,ENTERPRISE SOLUTIONS
2025-04-20,10067.79,HRD3211,FAROOQUI PACK CO
2025-05-03,33062.04,HRD3212,GHOSH TIMBER
2025-04-23,28481.18,HRD3213,HEGDE SOFTWARE
2025-05-04,11525.55,HRD3214,IQBAL AUTOSPARES
2025-05-05,13195.59,HRD3300,CHAWLA FREIGHT
2025-05-07,27495.48,HRD3301,DUTTA COLDCHAIN
2025-05-09,14201.74,HRD3302,ENTERPRISE SOLUTIONS
2025-05-11,19914.09,HRD3303,FAROOQUI PACK CO
2025-05-13,7145.74,HRD3304,GHOSH TIMBER
2025-05-15,35204.49,HRD3305,HEGDE SOFTWARE
2025-05-17,18228.65,HRD3306,IQBAL AUTOSPARES
