Date,Amount,Invoice_Number,Vendor_Name
2025-04-01,17543.97,RZP4001,AHUJA TEXTILES
2025-04-02,5476.94,RZP4002,BANSAL ELEC
2025-04-03,4783.95,RZP4003,CHAWLA FRT SVC
2025-04-04,22814.99,RZP4004,DUTTA CC SOL
2025-04-05,22376.92,RZP4005,ENT SOLUTIONS
2025-04-06,12715.47,RZP4006,FQ PACKAGING
2025-04-07,29700.94,RZP4007,GHOSH TIMBER
2025-04-08,4235.97,RZP4008,HEGDE SW LABS
2025-04-09,8924.24,RZP4009,IQBAL AUTOSPARES
2025-04-10,41174.07,RZP4010,JINDAL STEEL
2025-04-11,32667.85,RZP4011,KOHLI FASHION
2025-04-12,5013.87,RZP4012,LAMBA PRINT
2025-04-13,34659.2,RZP4013,MENON CONST
2025-04-14,30106.97,RZP4014,NAIDU AGRO
2025-04-15,40130.22,RZP4015,OBEROI HOSP
2025-04-16,29572.34,RZP4016,PRASAD LOG
2025-04-17,37013.37,RZP4017,QURESHI WS
2025-04-18,7667.16,RZP4018,RR EXPORTS
2025-04-19,9295.26,RZP4019,SINHA MACHTOOL
2025-04-20,34074.36,RZP4020,TRIVEDI CONSULT
2025-04-21,44022.93,RZP4021,UPADHYAY FURN
2025-04-22,30529.75,RZP4022,VERMA CHEM
2025-04-23,42318.45,RZP4023,WADHWA REALTY
2025-04-24,33879.31,RZP4024,YADAV CEMENT
2025-04-25,33062.19,RZP4025,AHUJA TEXTILES
2025-04-26,15660.59,RZP4026,BANSAL ELEC
2025-04-27,3083.02,RZP4027,CHAWLA FRT SVC
2025-04-28,7620.6,RZP4028,DUTTA CC SOL
2025-04-29,8208.33,RZP4029,ENT SOLUTIONS
2025-04-30,43828.25,RZP4030,FQ PACKAGING
2025-05-08,12196.81,RZP4031,ENT SOLUTIONS
2025-05-06,28696.27,RZP4032,FQ PACKAGING
2025-05-06,7310.45,RZP4033,GHOSH TIMBER
2025-05-06,20171.07,RZP4034,HEGDE SW LABS
2025-05-08,17629.44,RZP4035,IQBAL AUTOSPARES
2025-05-09,28084.01,RZP4036,JINDAL STEEL
2025-05-15,3578.73,RZP4037,KOHLI FASHION
2025-05-14,16673.62,RZP4038,LAMBA PRINT
2025-05-11,39409.7,RZP4039,MENON CONST
2025-05-12,5441.61,RZP4040,NAIDU AGRO
2025-05-15,25128.88,RZP4041,OBEROI HOSP
2025-05-15,25924.77,RZP4042,PRASAD LOG
2025-05-15,34184.07,RZP4043,QURESHI WS
2025-05-17,5434.22,RZP4044,RR EXPORTS
2025-05-23,7715.39,RZP4045,SINHA MACHTOOL
2025-05-20,7144.2,RZP4046,TRIVEDI CONSULT
2025-05-21,39172.3,RZP4047,UPADHYAY FURN
2025-05-22,36467.95,RZP4048,VERMA CHEM
2025-05-26,14192.1,RZP4049,WADHWA REALTY
2025-05-23,32534.03,RZP4050,YADAV CEMENT
2025-06-03,18769.02,RZP4051,IQBAL AUTOSPARES
2025-06-03,18111.68,RZP4052,JINDAL STEEL
2025-06-04,28874.1,RZP4053,KOHLI FASHION
2025-06-05,5577.22,RZP4054,LAMBA PRINT
2025-06-02,18444.91,RZP4055,MENON CONST
2025-06-08,14008.22,RZP4056,NAIDU AGRO
2025-06-08,28033.69,RZP4057,OBEROI HOSP
2025-06-10,13640.55,RZP4058,PRASAD LOG
2025-06-06,26193.56,RZP4059,QURESHI WS
2025-06-12,31955.27,RZP4060,RR EXPORTS
2025-06-15,29507.65,RZP4061,MENON CONST
2025-06-16,18716.5,RZP4062,NAIDU AGRO
2025-06-17,29272.25,RZP4063,OBEROI HOSP
2025-06-18,28340.62,RZP4064,PRASAD LOG
2025-06-19,25653.88,RZP4065,QURESHI WS
2025-06-20,12324.17,RZP4066,RR EXPORTS
2025-06-21,11484.12,RZP4067,SINHA MACHTOOL
2025-06-22,27750.43,RZP4068,TRIVEDI CONSULT
2025-06-25,43333.95,RZP4069,QURESHI WS
2025-06-27,41273.0,RZP4070,RR EXPORTS
2025-06-29,20157.3,RZP4071,SINHA MACHTOOL
2025-07-01,42259.02,RZP4072,TRIVEDI CONSULT
2025-07-05,6228.3,RZP4073,UPADHYAY FURN
2025-07-06,14661.99,RZP4074,VERMA CHEM
2025-07-07,16863.09,RZP4075,WADHWA REALTY
2025-07-08,15198.99,RZP4076,YADAV CEMENT
2025-07-09,23785.79,RZP4077,AHUJA TEXTILES
2025-07-25,44373.5,RZP4078,DUTTA CC SOL
2025-07-26,36111.25,RZP4079,ENT SOLUTIONS
2025-07-27,43811.23,RZP4080,FQ PACKAGING
2025-07-28,7400.74,RZP4081,GHOSH TIMBER
2025-07-29,14153.7,RZP4082,HEGDE SW LABS
2025-07-30,4662.7,RZP4083,IQBAL AUTOSPARES
2025-07-31,35717.89,RZP4084,JINDAL STEEL
2025-08-01,14358.74,RZP4085,KOHLI FASHION
